Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
"Aimei Health Technology Co., Ltd",AFJK,"$65,400,000",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Outset Medical, Inc.",OM,"$47,235,279",($0.58),,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
Stardust Power Inc.,SDST,"$34,720,146",($0.07),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Yunhong Green CTI Ltd.,YHGJ,"$17,835,249",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Wag! Group Co.,PET,"$17,431,871",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Odyssey Marine Exploration, Inc.",OMEX,"$10,441,442",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Healthy Choice Wellness Corp.,HCWC,"$7,459,969",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"SenesTech, Inc.",SNES,"$3,524,726",($1.50),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Ascent Solar Technologies, Inc",ASTI,"$3,113,289",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Singularity Future Technology Ltd.,SGLY,"$2,973,764",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Bone Biologics Corp,BBLG,"$2,562,075",($0.65),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Churchill Capital Corp IX,CCIX,,,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Perceptive Capital Solutions Corp,PCSC,,,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
HSBC Holdings plc,HSBC,"$196,515,441,740",$1.41,time-not-supplied,Dec/2024,2,$0.57,2025-02-19 05:18:14
"Analog Devices, Inc.",ADI,"$106,510,267,836",$1.54,time-pre-market,Jan/2025,11,$1.73,2025-02-19 05:18:14
Carvana Co.,CVNA,"$59,243,002,844",$0.24,time-after-hours,Dec/2024,7,$1,2025-02-19 05:18:14
Manulife Financial Corp,MFC,"$52,013,296,209",$0.67,time-after-hours,Dec/2024,5,$0.68,2025-02-19 05:18:14
ENI S.p.A.,E,"$49,558,768,283",$0.87,time-not-supplied,Dec/2024,3,$1.06,2025-02-19 05:18:14
Garmin Ltd.,GRMN,"$40,828,348,908",$1.89,time-pre-market,Dec/2024,3,$1.72,2025-02-19 05:18:14
Crown Castle Inc.,CCI,"$38,227,258,375",$1.74,time-not-supplied,Dec/2024,6,$1.82,2025-02-19 05:18:14
Texas Pacific Land Corporation,TPL,"$31,530,771,973",,time-after-hours,Dec/2024,10,$4.91,2025-02-19 05:18:14
"ANSYS, Inc.",ANSS,"$29,639,412,909",$3.22,time-after-hours,Dec/2024,2,$3.39,2025-02-19 05:18:14
Koninklijke Philips N.V.,PHG,"$25,551,504,967",$0.55,time-pre-market,Dec/2024,1,$0.44,2025-02-19 05:18:14
Nutrien Ltd.,NTR,"$25,183,139,240",$0.31,time-after-hours,Dec/2024,8,$0.37,2025-02-19 05:18:14
American Water Works,AWK,"$24,490,366,091",$1.13,time-after-hours,Dec/2024,3,$0.88,2025-02-19 05:18:14
"Toast, Inc.",TOST,"$22,998,320,000",$0.06,time-after-hours,Dec/2024,8,($0.07),2025-02-19 05:18:14
Tenaris S.A.,TS,"$22,563,610,456",$0.63,time-after-hours,Dec/2024,5,$1.92,2025-02-19 05:18:14
Trimble Inc.,TRMB,"$18,259,891,691",$0.75,time-pre-market,Dec/2024,5,$0.53,2025-02-19 05:18:14
United Therapeutics Corporation,UTHR,"$16,544,365,851",$6.23,time-not-supplied,Dec/2024,9,$4.36,2025-02-19 05:18:14
"Reliance, Inc.",RS,"$16,111,061,390",$2.74,time-after-hours,Dec/2024,3,$4.73,2025-02-19 05:18:14
ICON plc,ICLR,"$15,361,409,964",$3.27,time-after-hours,Dec/2024,4,$3.40,2025-02-19 05:18:14
"CF Industries Holdings, Inc.",CF,"$14,353,163,743",$1.49,time-after-hours,Dec/2024,7,$1.49,2025-02-19 05:18:14
AngloGold Ashanti PLC,AU,"$13,511,104,064",$0.80,time-pre-market,Dec/2024,10,N/A,2025-02-19 05:18:14
